gradient_path,mnist_idx
Raw/gradients/grad_0654.png,0
Raw/gradients/grad_0114.png,1
Raw/gradients/grad_0025.png,2
Raw/gradients/grad_0759.png,3
Raw/gradients/grad_0281.png,4
Raw/gradients/grad_0250.png,5
Raw/gradients/grad_0228.png,6
Raw/gradients/grad_0142.png,7
Raw/gradients/grad_0754.png,8
Raw/gradients/grad_0104.png,9
Raw/gradients/grad_0692.png,10
Raw/gradients/grad_0758.png,11
Raw/gradients/grad_0913.png,12
Raw/gradients/grad_0558.png,13
Raw/gradients/grad_0089.png,14
Raw/gradients/grad_0604.png,15
Raw/gradients/grad_0432.png,16
Raw/gradients/grad_0032.png,17
Raw/gradients/grad_0030.png,18
Raw/gradients/grad_0095.png,19
Raw/gradients/grad_0223.png,20
Raw/gradients/grad_0238.png,21
Raw/gradients/grad_0517.png,22
Raw/gradients/grad_0616.png,23
Raw/gradients/grad_0027.png,24
Raw/gradients/grad_0574.png,25
Raw/gradients/grad_0203.png,26
Raw/gradients/grad_0733.png,27
Raw/gradients/grad_0665.png,28
Raw/gradients/grad_0718.png,29
Raw/gradients/grad_0558.png,30
Raw/gradients/grad_0429.png,31
Raw/gradients/grad_0225.png,32
Raw/gradients/grad_0459.png,33
Raw/gradients/grad_0603.png,34
Raw/gradients/grad_0284.png,35
Raw/gradients/grad_0828.png,36
Raw/gradients/grad_0890.png,37
Raw/gradients/grad_0006.png,38
Raw/gradients/grad_0777.png,39
Raw/gradients/grad_0825.png,40
Raw/gradients/grad_0163.png,41
Raw/gradients/grad_0714.png,42
Raw/gradients/grad_0432.png,43
Raw/gradients/grad_0348.png,44
Raw/gradients/grad_0284.png,45
Raw/gradients/grad_0159.png,46
Raw/gradients/grad_0220.png,47
Raw/gradients/grad_0980.png,48
Raw/gradients/grad_0781.png,49
Raw/gradients/grad_0344.png,50
Raw/gradients/grad_0104.png,51
Raw/gradients/grad_0094.png,52
Raw/gradients/grad_0389.png,53
Raw/gradients/grad_0099.png,54
Raw/gradients/grad_0367.png,55
Raw/gradients/grad_0867.png,56
Raw/gradients/grad_0352.png,57
Raw/gradients/grad_0618.png,58
Raw/gradients/grad_0270.png,59
Raw/gradients/grad_0826.png,60
Raw/gradients/grad_0044.png,61
Raw/gradients/grad_0747.png,62
Raw/gradients/grad_0470.png,63
Raw/gradients/grad_0549.png,64
Raw/gradients/grad_0127.png,65
Raw/gradients/grad_0996.png,66
Raw/gradients/grad_0944.png,67
Raw/gradients/grad_0387.png,68
Raw/gradients/grad_0080.png,69
Raw/gradients/grad_0565.png,70
Raw/gradients/grad_0300.png,71
Raw/gradients/grad_0849.png,72
Raw/gradients/grad_0643.png,73
Raw/gradients/grad_0633.png,74
Raw/gradients/grad_0906.png,75
Raw/gradients/grad_0882.png,76
Raw/gradients/grad_0370.png,77
Raw/gradients/grad_0591.png,78
Raw/gradients/grad_0196.png,79
Raw/gradients/grad_0721.png,80
Raw/gradients/grad_0071.png,81
Raw/gradients/grad_0046.png,82
Raw/gradients/grad_0677.png,83
Raw/gradients/grad_0233.png,84
Raw/gradients/grad_0791.png,85
Raw/gradients/grad_0296.png,86
Raw/gradients/grad_0081.png,87
Raw/gradients/grad_0875.png,88
Raw/gradients/grad_0238.png,89
Raw/gradients/grad_0887.png,90
Raw/gradients/grad_0103.png,91
Raw/gradients/grad_0389.png,92
Raw/gradients/grad_0284.png,93
Raw/gradients/grad_0464.png,94
Raw/gradients/grad_0650.png,95
Raw/gradients/grad_0854.png,96
Raw/gradients/grad_0373.png,97
Raw/gradients/grad_0166.png,98
Raw/gradients/grad_0379.png,99
Raw/gradients/grad_0363.png,100
Raw/gradients/grad_0214.png,101
Raw/gradients/grad_0686.png,102
Raw/gradients/grad_0273.png,103
Raw/gradients/grad_0718.png,104
Raw/gradients/grad_0959.png,105
Raw/gradients/grad_0699.png,106
Raw/gradients/grad_0663.png,107
Raw/gradients/grad_0073.png,108
Raw/gradients/grad_0623.png,109
Raw/gradients/grad_0650.png,110
Raw/gradients/grad_0175.png,111
Raw/gradients/grad_0546.png,112
Raw/gradients/grad_0746.png,113
Raw/gradients/grad_0250.png,114
Raw/gradients/grad_0167.png,115
Raw/gradients/grad_0473.png,116
Raw/gradients/grad_0388.png,117
Raw/gradients/grad_0276.png,118
Raw/gradients/grad_0947.png,119
Raw/gradients/grad_0655.png,120
Raw/gradients/grad_0704.png,121
Raw/gradients/grad_0570.png,122
Raw/gradients/grad_0224.png,123
Raw/gradients/grad_0701.png,124
Raw/gradients/grad_0332.png,125
Raw/gradients/grad_0863.png,126
Raw/gradients/grad_0786.png,127
Raw/gradients/grad_0794.png,128
